dr7id,m,logL_FUV,logL_FUV_err,logL_22,logL_22_err,logMstar,logMstar_err
588015509830762647,3,9.93,0.02,9.28,0.05,10.9,0.12
588015510362390600,2,9.63,0.02,8.74,0.04,10.54,0.12
587729774758199429,2,8.78,0.05,9.42,0.05,10.22,0.09
587722981755977976,1,9.48,0.02,9.24,0.07,10.93,0.09
587729778521604125,2,8.85,0.04,9.34,0.05,10.93,0.08
587722982282100859,2,9.23,0.02,8.92,0.09,10.01,0.09
587722982286360744,4,9.35,0.1,9.09,0.07,10.58,0.09
587722982291865751,5+,9.72,0.02,9.34,0.06,10.94,0.08
587722982297305365,2,9.43,0.02,8.7,0.07,10.45,0.11
587722982297698635,2,9.52,0.02,9.05,0.06,10.65,0.1
587722982298616131,2,9.45,0.02,8.86,0.06,10.31,0.09
587722982817529962,2,9.37,0.02,8.83,0.05,10.47,0.12
587722982826770451,3,9.65,0.02,9.41,0.05,10.43,0.09
587722982827163944,3,9.62,0.02,8.97,0.07,11.05,0.08
587722982828540257,2,9.56,0.02,9.79,0.05,10.73,0.08
587722982834766073,5+,9.87,0.02,9.44,0.05,10.53,0.08
587722983358464104,5+,9.53,0.03,9.27,0.05,10.38,0.09
587722983365869710,3,9.78,0.02,9.64,0.05,10.49,0.09
587722983371374878,4,9.6,0.02,9.32,0.06,10.84,0.1
587722983371637150,2,8.86,0.04,9.04,0.08,10.2,0.09
587722983901954064,5+,9.69,0.02,9.19,0.06,10.29,0.09
587722983905100085,5+,9.55,0.02,8.74,0.07,10.47,0.11
587722983911326116,5+,9.6,0.15,8.86,0.11,10.0,0.11
587722984434565297,3,9.49,0.05,8.83,0.06,10.7,0.09
587722984438038540,5+,9.77,0.02,9.09,0.06,10.19,0.1
587722984446296391,2,9.41,0.02,9.12,0.06,10.72,0.08
588848898828468408,5+,9.55,0.04,9.21,0.06,10.59,0.1
588848898838954058,2,8.98,0.02,9.43,0.05,10.04,0.09
588848898852389021,2,8.59,0.04,8.1,0.1,10.48,0.07
588848898852847824,3,9.58,0.02,9.73,0.05,10.59,0.09
588848898853634244,2,9.41,0.02,9.22,0.05,11.03,0.09
588848899366322323,2,8.83,0.07,9.22,0.06,10.93,0.08
588848899371696282,4,9.39,0.02,8.7,0.1,10.19,0.09
588848899389849820,2,9.45,0.03,9.14,0.06,11.07,0.08
588848899389980902,2,9.02,0.03,9.52,0.05,10.8,0.08
588848899892707594,4,9.58,0.02,9.37,0.05,10.3,0.09
588848899892969689,2,8.8,0.03,8.86,0.11,11.05,0.06
588848899903520799,2,8.87,0.03,9.18,0.05,10.31,0.09
588848899904831516,4,9.46,0.02,8.75,0.09,10.08,0.1
588848899926392842,5+,9.46,0.02,9.12,0.05,10.67,0.08
588848899927113931,2,9.5,0.02,9.38,0.06,10.91,0.1
588848900435869865,3,9.66,0.02,9.35,0.06,10.36,0.09
588848900437246027,2,9.47,0.02,8.82,0.06,10.27,0.09
588848900440457365,2,9.41,0.02,9.38,0.05,10.82,0.1
588848900441833546,2,9.04,0.04,8.67,0.09,10.85,0.08
588848900442030164,2,9.23,0.02,9.36,0.05,10.86,0.08
588848900443930723,2,9.2,0.02,8.81,0.06,10.02,0.1
588848900466540666,3,9.66,0.02,9.94,0.05,10.12,0.09
588848900467654716,2,9.15,0.03,8.61,0.08,10.15,0.08
588848900472242519,2,9.49,0.1,9.59,0.05,11.27,0.08
588848900970184879,4,9.56,0.02,8.9,0.09,10.22,0.09
588848900973003033,2,9.21,0.02,9.13,0.07,10.67,0.09
588848900976083057,1,9.28,0.07,9.22,0.05,10.08,0.09
588848900976148548,2,8.94,0.02,9.77,0.05,10.41,0.09
588848900977655954,3,9.48,0.02,8.99,0.08,10.17,0.11
588848900981653685,3,9.37,0.02,9.0,0.07,10.8,0.1
588848900982505499,3,9.49,0.02,8.98,0.05,10.17,0.1
588848900988010528,2,8.93,0.02,9.01,0.05,10.48,0.08
588848900999938189,3,9.55,0.02,9.1,0.06,10.8,0.1
587726031695904926,1,9.37,0.03,9.78,0.05,10.88,0.09
587726031698657312,3,9.94,0.02,8.97,0.07,10.35,0.05
587726031167094918,2,9.26,0.02,8.81,0.1,11.12,0.05
587726031168143415,5+,9.56,0.02,9.19,0.06,10.65,0.1
588848901516689605,2,9.16,0.02,9.72,0.05,10.72,0.09
588848901525012584,3,9.97,0.02,9.96,0.05,10.58,0.09
588848901526519845,5+,9.47,0.02,8.85,0.05,10.04,0.1
588848901531041867,2,9.28,0.04,9.19,0.05,10.53,0.08
587724648186118245,5+,9.27,0.02,8.9,0.06,10.5,0.09
587724648725020803,3,9.39,0.05,8.96,0.05,10.6,0.09
587724649261301882,2,9.01,0.07,8.58,0.06,10.09,0.09
587724649261760541,2,9.65,0.07,9.49,0.06,10.59,0.09
587724650331504840,4,9.46,0.07,9.17,0.07,10.24,0.1
587724650864050209,4,9.78,0.02,9.05,0.06,10.42,0.12
587724650864574666,5+,9.85,0.03,9.56,0.05,10.5,0.08
587725039015100491,3,9.43,0.02,8.96,0.07,10.86,0.09
587725039022768172,2,9.64,0.02,9.76,0.05,10.84,0.1
587725039561277607,3,9.78,0.07,8.88,0.07,10.0,0.11
587725040089235580,5+,9.4,0.08,8.82,0.07,10.44,0.09
587725040089235606,3,9.13,0.15,8.65,0.12,10.31,0.11
587725040089694299,2,9.5,0.07,9.43,0.05,10.37,0.09
587725040089825448,2,9.33,0.12,9.63,0.05,10.34,0.09
587725040089825453,3,8.91,0.14,8.98,0.05,10.38,0.09
587725040625844391,4,9.6,0.06,8.67,0.09,10.55,0.16
587725040630366340,4,9.63,0.03,9.17,0.05,10.38,0.09
587725041966972957,1,9.91,0.02,10.28,0.05,10.83,0.1
587725041700831400,3,9.54,0.02,9.32,0.04,10.96,0.11
587725074451464611,5+,9.41,0.02,9.05,0.08,10.63,0.1
587725074990039307,3,9.18,0.02,8.85,0.12,10.86,0.07
587725074990235725,2,9.65,0.02,9.53,0.05,10.85,0.09
587727942952485087,2,9.26,0.02,8.85,0.06,10.08,0.1
588007006327079030,3,9.53,0.02,8.73,0.09,10.52,0.12
587725469061742711,2,9.37,0.09,9.23,0.06,10.69,0.08
587725469062004893,5+,9.23,0.03,8.66,0.1,10.22,0.1
587725469594353805,2,9.2,0.09,8.84,0.09,10.33,0.1
587725469595730039,1,9.81,0.06,9.86,0.05,11.02,0.08
587725469596713159,2,9.68,0.06,8.93,0.08,10.68,0.08
587725469599203460,1,9.75,0.02,9.19,0.06,10.56,0.1
587725469600448626,3,9.34,0.03,8.97,0.06,10.27,0.09
587725470125457836,2,9.0,0.02,8.49,0.07,10.2,0.11
587725470127685799,3,9.75,0.02,9.12,0.06,10.79,0.11
587725470130045191,3,9.72,0.02,8.95,0.06,10.41,0.12
587725470130831374,2,9.43,0.14,9.19,0.06,11.15,0.07
587725470135288004,2,9.32,0.03,8.92,0.07,11.02,0.08
587725470136205340,5+,9.83,0.05,9.53,0.05,10.4,0.1
587725470663377157,3,9.52,0.05,9.02,0.06,10.92,0.09
587725470663639354,2,9.05,0.02,8.78,0.06,10.31,0.1
587725470669668511,1,9.6,0.03,9.95,0.05,10.58,0.09
587725470670586083,4,9.56,0.09,8.81,0.09,10.05,0.12
587725470670913754,5+,9.37,0.02,8.95,0.08,10.4,0.09
587725470673404001,4,9.89,0.02,9.31,0.06,10.65,0.08
587725470673666275,2,9.55,0.08,9.57,0.05,10.3,0.09
587725470673862874,3,9.46,0.09,8.93,0.09,10.22,0.09
587725471207522574,2,9.32,0.02,9.34,0.06,10.49,0.09
588848899920756784,2,9.42,0.04,9.41,0.05,10.47,0.09
587725489989157071,2,9.92,0.05,10.03,0.04,10.2,0.19
587725490522947701,4,9.51,0.02,9.17,0.05,10.48,0.11
587725491059687609,4,9.21,0.02,8.97,0.06,10.48,0.07
587725491062702091,3,9.66,0.02,9.23,0.06,10.45,0.09
587725491598917859,2,9.5,0.02,8.87,0.07,10.42,0.12
587725491599114507,4,9.4,0.02,9.15,0.05,10.63,0.08
587725491599311220,2,9.27,0.02,8.47,0.07,10.8,0.05
587725492134543616,2,8.68,0.02,10.12,0.05,10.78,0.09
587725492138606897,1,9.51,0.06,9.07,0.06,10.24,0.09
587725502871044114,2,9.94,0.03,9.42,0.05,10.45,0.1
587725503945965727,5+,9.15,0.04,8.77,0.05,10.12,0.09
587725503948521672,3,9.08,0.08,8.33,0.07,10.04,0.09
587725503949177208,5+,9.21,0.07,8.85,0.05,10.58,0.08
587725504481656860,5+,9.53,0.02,9.06,0.06,10.3,0.1
587725505021411819,2,8.7,0.03,9.5,0.05,10.5,0.09
587725505558216938,3,9.6,0.02,8.83,0.08,10.18,0.11
588007003629617321,2,9.25,0.1,9.69,0.05,10.38,0.09
587729153863254104,4,9.6,0.06,8.7,0.07,10.46,0.11
588007003647901713,2,9.74,0.04,9.94,0.05,10.36,0.09
588007003649933503,2,9.76,0.04,9.07,0.06,10.11,0.11
588007004164980818,1,9.65,0.07,9.48,0.05,10.59,0.08
588007004166684863,3,9.34,0.02,8.71,0.09,10.28,0.1
588007004695363905,1,9.43,0.02,9.24,0.06,10.19,0.09
588007004699361321,2,9.44,0.08,9.56,0.05,10.25,0.1
588007004701523974,2,9.62,0.04,9.29,0.05,10.98,0.1
588007004701917379,2,9.34,0.14,8.54,0.07,10.29,0.11
588007004708470915,2,9.32,0.02,9.6,0.05,10.74,0.09
588007004708864171,2,9.22,0.02,8.71,0.06,10.02,0.09
588007004722888822,5+,9.39,0.03,8.81,0.05,10.39,0.1
588007004725772437,2,9.66,0.04,9.16,0.05,10.15,0.09
588007004731146429,5+,9.39,0.05,8.95,0.05,10.45,0.09
588007005234528503,2,9.28,0.03,8.77,0.12,10.17,0.1
588007005236297960,5+,9.47,0.05,8.71,0.06,10.0,0.11
588007005236822170,3,9.45,0.02,9.29,0.06,10.66,0.08
588007005257662593,2,9.03,0.19,9.42,0.05,10.64,0.09
588007005774544900,1,9.15,0.02,10.4,0.05,10.68,0.08
588007005775396895,2,9.34,0.02,10.02,0.05,10.16,0.17
588007005779067073,2,9.05,0.09,8.46,0.11,10.15,0.13
